date,title,event_or_location,type,description,source_url
1985-11-27,Blending,,live session,"Early-era Bashar channeling session (audio recording) titled 'Blending', dated 1985-11-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-11-27-blending
1985-12-04,Hologram,,live session,"Early-era Bashar channeling session (audio recording) titled 'Hologram', dated 1985-12-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-12-04-hologram
1985-12-11,Co Creation,,live session,"Early-era Bashar channeling session (audio recording) titled 'Co Creation', dated 1985-12-11. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-12-11-co-creation-includes-lsd-mucus-congestion
1985-12-18,Separation Integration,,live session,"Early-era Bashar channeling session (audio recording) titled 'Separation Integration', dated 1985-12-18. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-12-18-separation-integration
1986-01-13,Jesus Said,,live session,"Early-era Bashar channeling session (audio recording) titled 'Jesus Said', dated 1986-01-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-01-13-jesus-said
1986-01-15,Be Who And What You Are,,live session,"Early-era Bashar channeling session (audio recording) titled 'Be Who And What You Are', dated 1986-01-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-01-15-be-who-and-what-you-are
1986-01-22,Faith And Psychic Abilities,,live session,"Early-era Bashar channeling session (audio recording) titled 'Faith And Psychic Abilities', dated 1986-01-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-01-22-faith-and-psychic-abilities
1986-01-29,Space Shuttle Challenger Symbol,,live session,"Early-era Bashar channeling session (audio recording) titled 'Space Shuttle Challenger Symbol', dated 1986-01-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-01-29-space-shuttle-challenger-symbol
1986-02-05,Forgetting,,live session,"Early-era Bashar channeling session (audio recording) titled 'Forgetting', dated 1986-02-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-02-05-forgetting
1986-02-06,Remembering,,live session,"Early-era Bashar channeling session (audio recording) titled 'Remembering', dated 1986-02-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-02-06-remembering
1986-02-12,Welcome To Fourth Density,,live session,"Early-era Bashar channeling session (audio recording) titled 'Welcome To Fourth Density', dated 1986-02-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-02-12-welcome-to-fourth-density
1986-02-19,Gathering Time,,live session,"Early-era Bashar channeling session (audio recording) titled 'Gathering Time', dated 1986-02-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-02-19-gathering-time
1986-02-24,Dream Reality,,live session,"Early-era Bashar channeling session (audio recording) titled 'Dream Reality', dated 1986-02-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-dream-reality-1986-02-24
1986-02-26,Shedding Some Light,,live session,"Early-era Bashar channeling session (audio recording) titled 'Shedding Some Light', dated 1986-02-26. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-02-26-shedding-some-light
1986-03-05,Reflections,,live session,"Early-era Bashar channeling session (audio recording) titled 'Reflections', dated 1986-03-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-03-05-reflections
1986-03-10,Believing In Beliefs,,live session,"Early-era Bashar channeling session (audio recording) titled 'Believing In Beliefs', dated 1986-03-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-03-10-believing-in-beliefs
1986-03-19,Infinity,,live session,"Early-era Bashar channeling session (audio recording) titled 'Infinity', dated 1986-03-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-03-19-infinity
1986-03-20,Oversoul Perspective,,live session,"Early-era Bashar channeling session (audio recording) titled 'Oversoul Perspective', dated 1986-03-20. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-03-20-oversoul-perspective
1986-03-26,Interactions,,live session,"Early-era Bashar channeling session (audio recording) titled 'Interactions', dated 1986-03-26. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-03-26-interactions
1986-04-02,Conviction,,live session,"Early-era Bashar channeling session (audio recording) titled 'Conviction', dated 1986-04-02. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-04-02-conviction
1986-04-09,Equality,,live session,"Early-era Bashar channeling session (audio recording) titled 'Equality', dated 1986-04-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-04-09-equality
1986-04-14,Darryl's Dream,,live session,"Early-era Bashar channeling session (audio recording) titled 'Darryl's Dream', dated 1986-04-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-04-14-darryl's-dream
1986-04-16,Showers Of Infinity And Synchronicity,,live session,"Early-era Bashar channeling session (audio recording) titled 'Showers Of Infinity And Synchronicity', dated 1986-04-16. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-04-16-showers-of-infinity-and-synchronicity
1986-04-19,Accepting Yourself,,live session,"Early-era Bashar channeling session (audio recording) titled 'Accepting Yourself', dated 1986-04-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-accepting-yourself-1986-04-19_202408
1986-04-23,Frames Of Reference,,live session,"Early-era Bashar channeling session (audio recording) titled 'Frames Of Reference', dated 1986-04-23. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-04-23-frames-of-reference
1986-05-07,Field Trip,,live session,"Early-era Bashar channeling session (audio recording) titled 'Field Trip', dated 1986-05-07. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-05-07-field-trip
1986-05-08,Abundance First Half,,live session,"Early-era Bashar channeling session (audio recording) titled 'Abundance First Half', dated 1986-05-08. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-05-08-abundance-first-half
1986-05-14,Cats,,live session,"Early-era Bashar channeling session (audio recording) titled 'Cats', dated 1986-05-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-05-14-cats
1986-05-28,Arcturus,,live session,"Early-era Bashar channeling session (audio recording) titled 'Arcturus', dated 1986-05-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-05-28-arcturus
1986-06-04,Connections,,live session,"Early-era Bashar channeling session (audio recording) titled 'Connections', dated 1986-06-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-06-04-connections
1986-06-05,Your Relationship To Your Soul,,live session,"Early-era Bashar channeling session (audio recording) titled 'Your Relationship To Your Soul', dated 1986-06-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-06-05-your-relationship-to-your-soul
1986-06-18,Synchronicity,,live session,"Early-era Bashar channeling session (audio recording) titled 'Synchronicity', dated 1986-06-18. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-06-18-synchronicity
1986-06-25,Under Control,,live session,"Early-era Bashar channeling session (audio recording) titled 'Under Control', dated 1986-06-25. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-06-25-under-control
1986-07-02,Relationships,,live session,"Early-era Bashar channeling session (audio recording) titled 'Relationships', dated 1986-07-02. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-07-02-relationships
1986-07-08,Habits,,live session,"Early-era Bashar channeling session (audio recording) titled 'Habits', dated 1986-07-08. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-07-08-habits
1986-07-09,Energy Gate,,live session,"Early-era Bashar channeling session (audio recording) titled 'Energy Gate', dated 1986-07-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-07-09-energy-gate
1986-07-16,Perspectives,,live session,"Early-era Bashar channeling session (audio recording) titled 'Perspectives', dated 1986-07-16. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-07-16-perspectives
1986-07-19,Primary Knowingness,,live session,"Early-era Bashar channeling session (audio recording) titled 'Primary Knowingness', dated 1986-07-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-07-19-primary-knowingness
1986-07-23,Simplicity Itself,,live session,"Early-era Bashar channeling session (audio recording) titled 'Simplicity Itself', dated 1986-07-23. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-07-23-simplicity-itself
1986-08-06,Being In Touch,,live session,"Early-era Bashar channeling session (audio recording) titled 'Being In Touch', dated 1986-08-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-08-06-being-in-touch
1986-08-13,Togetherness,,live session,"Early-era Bashar channeling session (audio recording) titled 'Togetherness', dated 1986-08-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-08-13-togetherness
1986-08-19,Symbolic Meaning,,live session,"Early-era Bashar channeling session (audio recording) titled 'Symbolic Meaning', dated 1986-08-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-08-19-symbolic-meaning
1986-08-27,Trust,,live session,"Early-era Bashar channeling session (audio recording) titled 'Trust', dated 1986-08-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-08-27-trust
1986-09-03,Designer Dreams,,live session,"Early-era Bashar channeling session (audio recording) titled 'Designer Dreams', dated 1986-09-03. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-09-03-designer-dreams
1986-09-10,Ecstatic Transformation,,live session,"Early-era Bashar channeling session (audio recording) titled 'Ecstatic Transformation', dated 1986-09-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-09-10-ecstatic-transformation
1986-09-17,Happy Anniversary,,live session,"Early-era Bashar channeling session (audio recording) titled 'Happy Anniversary', dated 1986-09-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-09-17-happy-anniversary
1986-09-24,Cruising Thru Time,,live session,"Early-era Bashar channeling session (audio recording) titled 'Cruising Thru Time', dated 1986-09-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-09-24-cruising-thru-time
1986-10-01,Unfolding,,live session,"Early-era Bashar channeling session (audio recording) titled 'Unfolding', dated 1986-10-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-10-01-unfolding
1986-10-08,Night Of Dreams,,live session,"Early-era Bashar channeling session (audio recording) titled 'Night Of Dreams', dated 1986-10-08. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-10-08-night-of-dreams
1986-10-15,Dolphin Dreams,,live session,"Early-era Bashar channeling session (audio recording) titled 'Dolphin Dreams', dated 1986-10-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-10-15-dolphin-dreams
1986-10-29,You Are Spirit,,live session,"Early-era Bashar channeling session (audio recording) titled 'You Are Spirit', dated 1986-10-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-10-29-you-are-spirit
1986-11-05,Paradox,,live session,"Early-era Bashar channeling session (audio recording) titled 'Paradox', dated 1986-11-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-11-05-paradox
1986-11-12,System of Belief,,live session,"Early-era Bashar channeling session (audio recording) titled 'System of Belief', dated 1986-11-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-system-of-belief-1986-11-12
1986-11-19,Rats,,live session,"Early-era Bashar channeling session (audio recording) titled 'Rats', dated 1986-11-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-11-19-rats
1986-12-10,The Awakening 2,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Awakening 2', dated 1986-12-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-12-10-the-awakening-2
1986-12-17,The Awakening 3,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Awakening 3', dated 1986-12-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-12-17-the-awakening-3
1986-12-24,The Awakening 4,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Awakening 4', dated 1986-12-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-12-24-the-awakening-4
1986-12-29,Hawaii The Heart,Hawaii,live session,"Early-era Bashar channeling session (audio recording) titled 'Hawaii The Heart', dated 1986-12-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1986-12-29-hawaii-the-heart
1987,The Men in Black,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Men in Black', dated 1987. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-men-in-black-1987
1987-01-01,Dolphins Gift Maui,"Maui, Hawaii",live session,"Early-era Bashar channeling session (audio recording) titled 'Dolphins Gift Maui', dated 1987-01-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1987-01-01-dolphins-gift-maui
1987-01-04,Om Circle Maui,"Maui, Hawaii",live session,"Early-era Bashar channeling session (audio recording) titled 'Om Circle Maui', dated 1987-01-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1987-01-04-om-circle-maui
1987-01-06,Accelerating Your Frequency,,live session,"Early-era Bashar channeling session (audio recording) titled 'Accelerating Your Frequency', dated 1987-01-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1987-01-06-accelerating-your-frequency
1987-01-09,Essassani Concepts Oahu,"Oahu, Hawaii",live session,"Early-era Bashar channeling session (audio recording) titled 'Essassani Concepts Oahu', dated 1987-01-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1987-01-09-essassani-concepts-oahu
1987-01-15,The Golden Gate,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Golden Gate', dated 1987-01-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-golden-gate-1987-01-15
1987-01-22,Miracles,,live session,"Early-era Bashar channeling session (audio recording) titled 'Miracles', dated 1987-01-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-miracles-1987-01-22
1987-01-28,Friends And Neighbors,,live session,"Early-era Bashar channeling session (audio recording) titled 'Friends And Neighbors', dated 1987-01-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1987-01-28-friends-and-neighbors
1987-02-05,Opening Night,,live session,"Early-era Bashar channeling session (audio recording) titled 'Opening Night', dated 1987-02-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1987-02-05-opening-night
1987-02-12,Perfection,,live session,"Early-era Bashar channeling session (audio recording) titled 'Perfection', dated 1987-02-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-perfection-1987-02-12
