video_id,title,content_type,channel,year,year_reliable,approx_words,archetype_cluster,url,top_topic,top_topic_pct
T5QtncJq1Jc,Bashar :: 2027 The Year Everything Changes - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,850,0,https://www.youtube.com/watch?v=T5QtncJq1Jc,formula_excitement,35
U-DHIk0lIQ4,BASHAR (Darryl Anka) Part 3 is finally here ! A surprise guest joins the conversation:),Interview with Darryl Anka,Antoinette & Friends,,False,18500,3,https://www.youtube.com/watch?v=U-DHIk0lIQ4,channeling_mechanics_darryl,12
WEVqgD-L5kc,Bashar Darryl Anka | Bashar explains that the economic collapse breaks all limits.,Full session (re-upload),Divine Insights,,False,8500,3,https://www.youtube.com/watch?v=WEVqgD-L5kc,beliefs_emotions_fear,15
ZACIL5Hzb5c,BASHAR: Raise Your Vibration & Prepare for Contact | Darryl Anka,Interview with Darryl Anka,Gaia,2025,True,7200,3,https://www.youtube.com/watch?v=ZACIL5Hzb5c,formula_excitement,15
_UZ8EyuOuY8,Bashar's SECRET MESSAGE for 2026 — Are You Ready? | Darryl Anka,Clip / excerpt,Next Level Soul Clips,2024,True,1850,1,https://www.youtube.com/watch?v=_UZ8EyuOuY8,et_contact_disclosure_2027,65
aZvcNhWthUA,The Way ETs See You Will Change Everything | Darryl Anka & Bashar,Clip / excerpt,Soul Luma (third-party clip channel),,False,2100,2,https://www.youtube.com/watch?v=aZvcNhWthUA,physical_vs_higher_mind,20
alW2lHKFy2k,Bashar: Shifting Through Parallel Realities,Clip / excerpt,Free Vibrations,,False,180,4,https://www.youtube.com/watch?v=alW2lHKFy2k,parallel_realities_shifting,70
d--HZiDqgs0,Bashar :: The 40 Year Cycles of Human Evolution - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,1100,0,https://www.youtube.com/watch?v=d--HZiDqgs0,beliefs_emotions_fear,40
eCxOH-AK1rc,BASHAR: Buckle Up! We're Being PREPPED For Open Contact Right Now! What to Look For | Darryl Anka,Interview with Darryl Anka,Higher Journeys Podcast,2026,True,18500,1,https://www.youtube.com/watch?v=eCxOH-AK1rc,et_contact_disclosure_2027,38
egu6iDTj2ys,Bashar: A Message for All of Humanity (Darryl Anka),Interview with Darryl Anka,Align Podcast,2025,True,18500,3,https://www.youtube.com/watch?v=egu6iDTj2ys,beliefs_emotions_fear,13
fOi0W9_JEWM,Bashar: Interstellar Alliance Social Experiment: Step 1,Clip / excerpt,Nflow,2024,True,1200,1,https://www.youtube.com/watch?v=fOi0W9_JEWM,et_contact_disclosure_2027,35
fZmY4xS_qXE,Bashar :: 2026 The Year of Disclosure - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,2026,True,1850,1,https://www.youtube.com/watch?v=fZmY4xS_qXE,et_contact_disclosure_2027,55
hFC4F3JO33M,Bashar Reveals What Happens After Full Disclosure | Darryl Anka,Interview with Darryl Anka,Wisdom From North Clips,,False,2800,1,https://www.youtube.com/watch?v=hFC4F3JO33M,et_contact_disclosure_2027,55
hTlU_M_R0eE,"Bashar :: Sedona Interdimensional Citys - July 01, 2026",Full session (re-upload),ozy bourne,2026,False,47500,3,https://www.youtube.com/watch?v=hTlU_M_R0eE,formula_excitement,16
hmX3hlNJBjU,"Bashar :: The Story Tree - August 4, 2025",Full session (re-upload),Divine Insights,2025,True,45000,3,https://www.youtube.com/watch?v=hmX3hlNJBjU,permission_slips_tools,16
iq2QpcqHlmw,Bashar :: Knocking on Heaven's Door- Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,280,2,https://www.youtube.com/watch?v=iq2QpcqHlmw,physics_energy_frequency_dimensions,40
jQbxp4e6bfg,"Bashar ::The 33rd Parallel - August 21, 2025",Full session (re-upload),Divine Insights,2025,True,28500,3,https://www.youtube.com/watch?v=jQbxp4e6bfg,misc_life_guidance,14
ja8BrsruFOo,"Bashar :: Breaking News - March 15, 2026",Full session (re-upload),Eternal Inspiration,2026,False,32000,3,https://www.youtube.com/watch?v=ja8BrsruFOo,formula_excitement,18
jdzErS12DvU,"Straight Talk with Darryl Anka, Alan Steinfeld on the new book Making Contact",Interview with Darryl Anka,NewRealities,2021,True,28500,3,https://www.youtube.com/watch?v=jdzErS12DvU,formula_excitement,13
ji9rMw37o2M,Bashar Explains ANUNNAKI'S Role in Human Evolution and Space Travel | Channeled by Darryl Anka,Clip / excerpt,Mammoth Awakening,,False,3200,2,https://www.youtube.com/watch?v=ji9rMw37o2M,essassani_hybrids_other_civilizations,35
k0lWJ2B90-I,Bashar :: Explorations with Bashar - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,240,0,https://www.youtube.com/watch?v=k0lWJ2B90-I,formula_excitement,30
kPWOUEtUx2Y,Bashar Reveals the Truth About Family Karma & Unconditional Love | Channeled by Darryl Anka,Full session (re-upload),Cosmic Bridge,,False,8500,3,https://www.youtube.com/watch?v=kPWOUEtUx2Y,relationships_family_sexuality,29
kvU9mCJr-eo,Aliens Are Now Contacting Humanity According to Bashar,Interview with Darryl Anka,ACID FOR SQUARES,2024,True,4200,3,https://www.youtube.com/watch?v=kvU9mCJr-eo,et_contact_disclosure_2027,16
lLFUTAVah30,Bashar :: Cybo,Full session (re-upload),Divine Insights,2016,True,28500,3,https://www.youtube.com/watch?v=lLFUTAVah30,formula_excitement,13
mgSgI0ElfTI,Darryl Anka on Channeling Bashar | Interview with Extra Dimensionals,Interview with Darryl Anka,Extreme Mysteries,,False,28500,3,https://www.youtube.com/watch?v=mgSgI0ElfTI,channeling_mechanics_darryl,17
mk_yQrOQHJs,"Bashar :: Emersion Conference - August 3, 2025 | Bashar - Darryl Anka 2025 Ful Episode",Full session (re-upload),Divine Insights,2025,True,28500,3,https://www.youtube.com/watch?v=mk_yQrOQHJs,beliefs_emotions_fear,13
mzcFoYUvbOE,Bashar Describes Life and Death on E'sassani,Clip / excerpt,ETs and Erin,,False,850,2,https://www.youtube.com/watch?v=mzcFoYUvbOE,essassani_hybrids_other_civilizations,38
os4a7-7bnLw,"Bashar :: Breaking News - September 21, 2025",Full session (re-upload),Divine Insights,2025,False,28000,3,https://www.youtube.com/watch?v=os4a7-7bnLw,formula_excitement,15
ozHG5P7fY5I,Bashar :: Signs of The Times - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,1200,0,https://www.youtube.com/watch?v=ozHG5P7fY5I,formula_excitement,35
p8JC21bFf5M,"Bashar - Darryl Anka :: Reflections - May 28, 2026",Full session (re-upload),Divine Insights,2026,True,32000,3,https://www.youtube.com/watch?v=p8JC21bFf5M,beliefs_emotions_fear,14
pfB4F7uAjwE,Bashar Reveals The Secret Mission of Orion Souls on Earth (Darryl Anka Channeling),Full session (re-upload),The Present Moment,,False,28500,3,https://www.youtube.com/watch?v=pfB4F7uAjwE,beliefs_emotions_fear,17
sFjR-VFy4tE,"Bashar - Darryl Anka :: The Silent Season - December 20, 2025",Full session (re-upload),Divine Insights,2025,True,28500,3,https://www.youtube.com/watch?v=sFjR-VFy4tE,beliefs_emotions_fear,14
tYAnYpeyWTc,Bashar: What Happens After Death? | Darryl Anka | Channeled Message,Clip / excerpt,Free Vibration,,False,520,4,https://www.youtube.com/watch?v=tYAnYpeyWTc,parallel_realities_shifting,40
tskKYl3w0J8,"Bashar :: Emersion Conference - August 31, 2025 | Bashar - DarrylAnka 2025 Ful Episode",Full session (re-upload),Divine Insights,2025,True,28500,3,https://www.youtube.com/watch?v=tskKYl3w0J8,formula_excitement,15
ufzO0sbNICQ,"Darryl Anka, Channeler of BASHAR: From UFOs To The Formula For Life | Episode 21",Interview with Darryl Anka,Aaron Lazar: Impossible Dreams,2026,True,18500,3,https://www.youtube.com/watch?v=ufzO0sbNICQ,formula_excitement,14
vrv3J-ri804,"Bashar Predicts Open Contact in Just 2 Years — Parallel Earths, Atlantis & Humanity's Reset",Interview with Darryl Anka,Heart Coherence Collaborative,2025,True,15800,3,https://www.youtube.com/watch?v=vrv3J-ri804,beliefs_emotions_fear,12
wCZ1Lib1_cQ,"Bashar :: ""The Triad Mind"" - Highlights",Official highlight clip,Bashar Channeled by Darryl Anka,,False,1250,4,https://www.youtube.com/watch?v=wCZ1Lib1_cQ,physical_vs_higher_mind,60
wwkC86EEu1s,Bashar: This is Coming In 2026... (Darryl Anka),Interview with Darryl Anka,Align Podcast,2026,True,18500,3,https://www.youtube.com/watch?v=wwkC86EEu1s,beliefs_emotions_fear,14
y0-_YOFU8eQ,BASHAR PREDICTION: Government Will Be VERY DIFFERENT When Open Contact Happens | Darryl Anka,Interview with Darryl Anka,Heart Coherence Collaborative,2025,True,18500,3,https://www.youtube.com/watch?v=y0-_YOFU8eQ,et_contact_disclosure_2027,20
ygzBrMyMAQA,"Bashar - Darryl Anka :: Reflections - May 24, 2026",Full session (re-upload),my daily life,2026,True,28500,3,https://www.youtube.com/watch?v=ygzBrMyMAQA,beliefs_emotions_fear,14
yx5hg3wTESs,Bashar Explains REINCARNATION: A Deeper Understanding | Channeled by Daryl Anka,Clip / excerpt,Mammoth Awakening,,False,3800,4,https://www.youtube.com/watch?v=yx5hg3wTESs,time_simultaneity_reincarnation,48
zOcZDBhRaOQ,"Bashar - Darryl Anka :: 2026: The Year of Disclosure - January 24, 2026",Full session (re-upload),Hibbs Teachings Hub,2026,True,28500,3,https://www.youtube.com/watch?v=zOcZDBhRaOQ,et_contact_disclosure_2027,18
